zip,cat_patients
25211,1
30093,1
31315,1
32618,1
33513,1
34609,1
65679,1
68133,1
72227,1
73049,6
73119,1
73120,1
73162,1
74218,1
74226,1
74241,1
74591,1
75001,37
75002,30
75006,77
75007,61
75009,11
75010,23
75012,2
75013,18
75016,2
75018,5
75019,26
75020,5
75022,1
75023,36
75024,30
75025,18
75026,68
75027,2
75028,9
75032,119
75033,16
75034,21
75035,20
75036,6
75038,83
75039,31
75040,277
75041,143
75042,131
75043,330
75044,118
75048,58
75049,40
75050,164
75051,154
75052,310
75054,16
75056,60
75057,21
75058,1
75060,331
75061,301
75062,226
75063,53
75064,2
75065,4
75067,49
75068,46
75069,31
75070,38
75071,85
75072,10
75074,72
75075,28
75077,20
75078,14
75080,76
75081,90
75082,52
75087,138
75088,728
75089,98
75090,6
75092,5
75093,33
75094,19
75098,198
75101,2
75102,10
75103,37
75104,108
75105,2
75106,1
75108,1
75109,55
75110,349
75114,432
75115,142
75116,110
75117,9
75118,5
75119,434
75120,4
75124,7
75125,168
75126,955
75127,4
75134,93
75135,38
75137,107
75140,11
75141,51
75142,1237
75143,170
75144,14
75146,136
75147,40
75148,8
75149,645
75150,561
75151,5
75152,134
75153,15
75154,395
75155,48
75156,50
75157,6
75158,247
75159,883
75160,710
75161,268
75162,2
75163,11
75164,3
75165,636
75166,27
75167,166
75169,118
75170,5
75172,57
75173,35
75180,449
75181,191
75182,44
75188,1
75189,291
75201,76
75202,19
75203,248
75204,196
75205,23
75206,181
75207,83
75208,597
75209,40
75210,83
75211,1031
75212,1082
75213,4
75214,258
75215,639
75216,735
75217,2101
75218,233
75219,135
75220,185
75221,3
75222,1
75223,269
75224,418
75225,18
75226,59
75227,1585
75228,1158
75229,100
75230,84
75231,236
75232,260
75233,182
75234,82
75235,284
75236,147
75237,73
75238,143
75240,133
75241,240
75242,2
75243,205
75244,20
75246,62
75247,26
75248,61
75249,77
75250,1
75251,17
75252,48
75253,842
75254,64
75260,1
75263,3
75287,109
75324,1
75336,4
75337,1
75343,1
75357,40
75374,1
75401,9
75402,8
75407,40
75409,17
75410,1
75412,1
75418,8
75423,1
75424,2
75440,2
75442,11
75447,1
75452,4
75453,2
75454,5
75459,2
75460,1
75472,6
75474,85
75475,4
75482,1
75485,1
75491,1
75492,1
75495,1
75496,3
75528,1
75570,1
75602,1
75610,3
75650,1
75686,1
75701,1
75751,11
75754,4
75758,1
75762,1
75801,1
75831,2
75840,18
75846,3
75859,5
75860,1
76001,62
76002,40
76005,6
76006,40
76007,1
76008,21
76009,41
76010,100
76011,49
76012,57
76013,67
76014,62
76015,32
76016,64
76017,79
76018,54
76019,2
76020,25
76021,23
76022,7
76023,4
76028,91
76031,27
76033,26
76034,2
76035,6
76036,59
76039,39
76040,19
76041,4
76043,3
76044,4
76048,12
76049,6
76050,20
76051,23
76052,16
76053,20
76054,1
76055,7
76058,30
76059,7
76060,39
76062,1
76063,111
76064,6
76065,196
76071,2
76078,5
76082,10
76084,24
76085,5
76086,10
76087,17
76088,8
76092,5
76101,1
76102,29
76103,166
76104,350
76105,334
76106,339
76107,186
76108,378
76109,34
76110,650
76111,586
76112,388
76114,223
76115,233
76116,1485
76117,72
76118,14
76119,829
76120,59
76123,98
76126,71
76127,2
76131,60
76132,55
76133,1137
76134,120
76135,66
76137,65
76140,253
76148,32
76155,17
76159,1
76164,75
76177,22
76179,102
76180,31
76182,16
76201,15
76202,1
76203,1
76205,8
76207,3
76208,11
76209,4
76210,8
76219,1
76224,1
76226,3
76227,26
76235,1
76244,51
76247,8
76248,9
76249,1
76255,1
76259,8
76262,15
76265,5
76266,1
76271,1
76458,1
76462,1
76487,1
76522,3
76542,2
76544,1
76549,854
76567,1
76615,2
76623,2
76626,20
76634,1
76635,1
76639,5
76641,21
76642,7
76645,14
76648,4
76650,1
76651,67
76653,1
76655,1
76667,82
76670,9
76679,8
76682,3
76687,3
76693,3
77007,2
77009,1
77032,2
77356,2
77377,1
77429,1
77486,1
77537,5
77705,5
77840,2
78023,6
78068,1
78073,2
78109,15
78148,1
78154,2
78201,443
78202,152
78203,96
78204,166
78205,8
78207,333
78208,54
78209,247
78210,501
78211,238
78212,334
78213,401
78214,230
78215,62
78216,404
78217,399
78218,473
78219,74
78220,208
78221,319
78222,202
78223,594
78224,141
78225,136
78226,57
78227,332
78228,421
78229,269
78230,201
78231,28
78232,246
78233,343
78234,10
78235,20
78237,298
78238,133
78239,91
78240,264
78242,266
78244,314
78245,246
78247,352
78248,46
78249,269
78250,207
78251,246
78252,52
78253,95
78254,147
78255,21
78256,65
78257,26
78258,173
78259,114
78260,28
78261,17
78263,5
78264,12
78266,14
78573,1
78578,1
78580,1
78611,1
78628,1
78666,1
78718,1
78738,1
78753,1
78947,2
79219,1
80231,1
80443,1
85230,1
86063,1
90011,1
92614,5
