zip,cat_patients,dog_patients,total_patients
25211,1,0,1
30093,1,0,1
31315,1,0,1
32618,1,0,1
33513,1,0,1
34609,1,0,1
65679,1,0,1
68133,1,0,1
72227,1,0,1
73049,6,0,6
73119,1,0,1
73120,1,0,1
73162,1,0,1
74218,1,0,1
74226,1,0,1
74241,1,0,1
74591,1,0,1
75001,37,20,57
75002,30,26,56
75006,77,72,149
75007,61,35,96
75009,11,24,35
75010,23,31,54
75012,2,0,2
75013,18,11,29
75016,2,0,2
75018,5,0,5
75019,26,36,62
75020,5,5,10
75022,1,5,6
75023,36,32,68
75024,30,25,55
75025,18,28,46
75026,68,0,68
75027,2,0,2
75028,9,15,24
75032,119,129,248
75033,16,30,46
75034,21,38,59
75035,20,23,43
75036,6,16,22
75038,83,61,144
75039,31,39,70
75040,277,275,552
75041,143,142,285
75042,131,119,250
75043,330,285,615
75044,118,99,217
75048,58,60,118
75049,40,49,89
75050,164,111,275
75051,154,140,294
75052,310,289,599
75054,16,45,61
75056,60,76,136
75057,21,12,33
75058,1,2,3
75060,331,259,590
75061,301,170,471
75062,226,136,362
75063,53,46,99
75064,2,0,2
75065,4,6,10
75067,49,50,99
75068,46,69,115
75069,31,28,59
75070,38,26,64
75071,85,48,133
75072,10,25,35
75074,72,56,128
75075,28,36,64
75077,20,16,36
75078,14,19,33
75080,76,60,136
75081,90,81,171
75082,52,35,87
75087,138,159,297
75088,728,111,839
75089,98,146,244
75090,6,3,9
75092,5,5,10
75093,33,29,62
75094,19,18,37
75098,198,152,350
75101,2,4,6
75102,10,12,22
75103,37,31,68
75104,108,127,235
75105,2,0,2
75106,1,2,3
75108,1,0,1
75109,55,31,86
75110,349,171,520
75114,432,294,726
75115,142,121,263
75116,110,104,214
75117,9,3,12
75118,5,2,7
75119,434,283,717
75120,4,11,15
75124,7,11,18
75125,168,117,285
75126,955,1033,1988
75127,4,0,4
75134,93,91,184
75135,38,41,79
75137,107,77,184
75140,11,10,21
75141,51,33,84
75142,1237,1061,2298
75143,170,117,287
75144,14,14,28
75146,136,95,231
75147,40,44,84
75148,8,5,13
75149,645,467,1112
75150,561,310,871
75151,5,0,5
75152,134,95,229
75153,15,4,19
75154,395,307,702
75155,48,39,87
75156,50,28,78
75157,6,8,14
75158,247,146,393
75159,883,642,1525
75160,710,314,1024
75161,268,182,450
75162,2,0,2
75163,11,2,13
75164,3,1,4
75165,636,451,1087
75166,27,35,62
75167,166,109,275
75169,118,229,347
75170,5,1,6
75172,57,33,90
75173,35,49,84
75180,449,255,704
75181,191,223,414
75182,44,31,75
75188,1,0,1
75189,291,343,634
75201,76,77,153
75202,19,12,31
75203,248,84,332
75204,196,116,312
75205,23,23,46
75206,181,107,288
75207,83,18,101
75208,597,192,789
75209,40,17,57
75210,83,57,140
75211,1031,431,1462
75212,1082,215,1297
75213,4,0,4
75214,258,79,337
75215,639,137,776
75216,735,428,1163
75217,2101,1777,3878
75218,233,80,313
75219,135,140,275
75220,185,59,244
75221,3,1,4
75222,1,0,1
75223,269,115,384
75224,418,198,616
75225,18,9,27
75226,59,28,87
75227,1585,1039,2624
75228,1158,771,1929
75229,100,33,133
75230,84,29,113
75231,236,77,313
75232,260,149,409
75233,182,83,265
75234,82,61,143
75235,284,77,361
75236,147,71,218
75237,73,38,111
75238,143,94,237
75240,133,41,174
75241,240,192,432
75242,2,1,3
75243,205,103,308
75244,20,11,31
75246,62,7,69
75247,26,4,30
75248,61,55,116
75249,77,48,125
75250,1,0,1
75251,17,7,24
75252,48,27,75
75253,842,501,1343
75254,64,40,104
75260,1,0,1
75263,3,0,3
75287,109,61,170
75324,1,0,1
75336,4,0,4
75337,1,0,1
75343,1,0,1
75357,40,2,42
75374,1,0,1
75401,9,14,23
75402,8,14,22
75407,40,40,80
75409,17,10,27
75410,1,0,1
75412,1,1,2
75418,8,5,13
75423,1,4,5
75424,2,4,6
75440,2,1,3
75442,11,16,27
75447,1,0,1
75452,4,4,8
75453,2,10,12
75454,5,19,24
75459,2,2,4
75460,1,1,2
75472,6,8,14
75474,85,133,218
75475,4,1,5
75482,1,1,2
75485,1,1,2
75491,1,0,1
75492,1,0,1
75495,1,7,8
75496,3,0,3
75528,1,0,1
75570,1,1,2
75602,1,0,1
75610,3,0,3
75650,1,0,1
75686,1,0,1
75701,1,0,1
75751,11,8,19
75754,4,4,8
75758,1,0,1
75762,1,0,1
75801,1,0,1
75831,2,1,3
75840,18,3,21
75846,3,5,8
75859,5,5,10
75860,1,6,7
76001,62,50,112
76002,40,53,93
76005,6,8,14
76006,40,30,70
76007,1,1,2
76008,21,24,45
76009,41,125,166
76010,100,61,161
76011,49,20,69
76012,57,44,101
76013,67,40,107
76014,62,45,107
76015,32,24,56
76016,64,61,125
76017,79,67,146
76018,54,38,92
76019,2,0,2
76020,25,35,60
76021,23,13,36
76022,7,16,23
76023,4,3,7
76028,91,96,187
76031,27,21,48
76033,26,23,49
76034,2,5,7
76035,6,1,7
76036,59,79,138
76039,39,30,69
76040,19,30,49
76041,4,3,7
76043,3,1,4
76044,4,15,19
76048,12,26,38
76049,6,13,19
76050,20,11,31
76051,23,18,41
76052,16,46,62
76053,20,23,43
76054,1,4,5
76055,7,6,13
76058,30,34,64
76059,7,3,10
76060,39,23,62
76062,1,1,2
76063,111,123,234
76064,6,8,14
76065,196,184,380
76071,2,6,8
76078,5,5,10
76082,10,15,25
76084,24,46,70
76085,5,19,24
76086,10,5,15
76087,17,21,38
76088,8,5,13
76092,5,5,10
76101,1,0,1
76102,29,20,49
76103,166,143,309
76104,350,260,610
76105,334,339,673
76106,339,288,627
76107,186,131,317
76108,378,287,665
76109,34,31,65
76110,650,319,969
76111,586,176,762
76112,388,295,683
76114,223,188,411
76115,233,230,463
76116,1485,681,2166
76117,72,48,120
76118,14,21,35
76119,829,636,1465
76120,59,35,94
76123,98,127,225
76126,71,234,305
76127,2,0,2
76131,60,85,145
76132,55,39,94
76133,1137,495,1632
76134,120,77,197
76135,66,40,106
76137,65,71,136
76140,253,223,476
76148,32,27,59
76155,17,4,21
76159,1,1,2
76164,75,63,138
76177,22,23,45
76179,102,99,201
76180,31,49,80
76182,16,25,41
76201,15,7,22
76202,1,0,1
76203,1,0,1
76205,8,6,14
76207,3,8,11
76208,11,7,18
76209,4,6,10
76210,8,10,18
76219,1,0,1
76224,1,4,5
76226,3,8,11
76227,26,47,73
76235,1,1,2
76244,51,92,143
76247,8,22,30
76248,9,8,17
76249,1,7,8
76255,1,0,1
76259,8,5,13
76262,15,16,31
76265,5,0,5
76266,1,10,11
76271,1,0,1
76458,1,0,1
76462,1,5,6
76487,1,0,1
76522,3,0,3
76542,2,0,2
76544,1,2,3
76549,854,1,855
76567,1,0,1
76615,2,0,2
76623,2,1,3
76626,20,13,33
76634,1,2,3
76635,1,4,5
76639,5,7,12
76641,21,17,38
76642,7,4,11
76645,14,12,26
76648,4,1,5
76650,1,0,1
76651,67,29,96
76653,1,0,1
76655,1,1,2
76667,82,40,122
76670,9,3,12
76679,8,10,18
76682,3,1,4
76687,3,0,3
76693,3,1,4
77007,2,0,2
77009,1,0,1
77032,2,0,2
77356,2,0,2
77377,1,1,2
77429,1,1,2
77486,1,0,1
77537,5,0,5
77705,5,3,8
77840,2,1,3
78023,6,5,11
78068,1,0,1
78073,2,4,6
78109,15,10,25
78148,1,3,4
78154,2,1,3
78201,443,295,738
78202,152,173,325
78203,96,79,175
78204,166,66,232
78205,8,5,13
78207,333,317,650
78208,54,24,78
78209,247,87,334
78210,501,321,822
78211,238,171,409
78212,334,95,429
78213,401,295,696
78214,230,170,400
78215,62,31,93
78216,404,143,547
78217,399,232,631
78218,473,282,755
78219,74,43,117
78220,208,145,353
78221,319,274,593
78222,202,143,345
78223,594,471,1065
78224,141,114,255
78225,136,81,217
78226,57,52,109
78227,332,250,582
78228,421,339,760
78229,269,104,373
78230,201,72,273
78231,28,14,42
78232,246,108,354
78233,343,160,503
78234,10,8,18
78235,20,9,29
78237,298,269,567
78238,133,57,190
78239,91,61,152
78240,264,186,450
78242,266,234,500
78244,314,95,409
78245,246,143,389
78247,352,209,561
78248,46,18,64
78249,269,146,415
78250,207,138,345
78251,246,122,368
78252,52,41,93
78253,95,70,165
78254,147,103,250
78255,21,16,37
78256,65,26,91
78257,26,24,50
78258,173,98,271
78259,114,83,197
78260,28,40,68
78261,17,34,51
78263,5,1,6
78264,12,7,19
78266,14,10,24
78573,1,0,1
78578,1,0,1
78580,1,0,1
78611,1,0,1
78628,1,0,1
78666,1,0,1
78718,1,0,1
78738,1,0,1
78753,1,0,1
78947,2,0,2
79219,1,0,1
80231,1,0,1
80443,1,0,1
85230,1,0,1
86063,1,0,1
90011,1,0,1
92614,5,0,5
08831,0,1,1
16323,0,9,9
21639,0,1,1
28117,0,1,1
31047,0,3,3
32114,0,1,1
39209,0,1,1
46217,0,1,1
46349,0,1,1
48446,0,1,1
49435,0,39,39
52621,0,1,1
53575,0,1,1
54660,0,10,10
55373,0,3,3
60620,0,1,1
62627,0,1,1
70445,0,1,1
71112,0,2,2
72020,0,1,1
72703,0,1,1
73149,0,1,1
74040,0,1,1
74060,0,1,1
74115,0,1,1
74204,0,1,1
74738,0,1,1
75030,0,1,1
75083,0,2,2
75086,0,3,3
75112,0,2,2
75121,0,1,1
75131,0,1,1
75132,0,1,1
75168,0,1,1
75175,0,1,1
75183,0,1,1
75258,0,1,1
75261,0,1,1
75277,0,2,2
75297,0,1,1
75317,0,1,1
75321,0,1,1
75414,0,1,1
75428,0,2,2
75429,0,1,1
75446,0,4,4
75476,0,5,5
75479,0,2,2
75480,0,1,1
75490,0,1,1
75494,0,1,1
75501,0,1,1
75509,0,1,1
75644,0,2,2
75703,0,1,1
75704,0,1,1
75706,0,2,2
75752,0,1,1
75771,0,1,1
75773,0,1,1
75790,0,6,6
75853,0,1,1
75952,0,1,1
76003,0,1,1
76061,0,24,24
76067,0,3,3
76073,0,6,6
76093,0,2,2
76094,0,1,1
76095,0,1,1
76096,0,1,1
76113,0,1,1
76129,0,1,1
76149,0,2,2
76150,0,1,1
76161,0,1,1
76169,0,1,1
76216,0,1,1
76234,0,8,8
76239,0,1,1
76240,0,1,1
76258,0,3,3
76272,0,3,3
76273,0,1,1
76302,0,3,3
76308,0,1,1
76401,0,2,2
76402,0,1,1
76426,0,3,3
76502,0,1,1
76513,0,1,1
76627,0,4,4
76636,0,1,1
76671,0,1,1
76678,0,2,2
76681,0,3,3
76684,0,1,1
76686,0,2,2
76690,0,1,1
76692,0,6,6
76705,0,2,2
76706,0,2,2
76710,0,1,1
76850,0,1,1
76900,0,1,1
76902,0,1,1
76904,0,1,1
77083,0,1,1
77345,0,1,1
77354,0,1,1
77358,0,1,1
77375,0,1,1
77388,0,2,2
77508,0,1,1
77861,0,2,2
77864,0,1,1
78002,0,1,1
78069,0,1,1
78112,0,1,1
78155,0,1,1
78288,0,1,1
78294,0,1,1
78296,0,1,1
78501,0,1,1
78504,0,1,1
78541,0,1,1
78602,0,8,8
78634,0,1,1
78664,0,1,1
78705,0,1,1
78721,0,1,1
78726,0,1,1
78746,0,1,1
79938,0,1,1
80010,0,1,1
84604,0,2,2
85253,0,1,1
89436,0,1,1
91767,0,1,1
98370,0,1,1
